City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Tuy Hoa,VN,13.0833,109.3,81.52,74,51,10.76,broken clouds
69,Esperance,AU,-33.8667,121.9,66.04,61,45,10.54,scattered clouds
70,Hualmay,PE,-11.0964,-77.6139,65.62,88,14,6.29,few clouds
71,Cacapava Do Sul,BR,-30.5122,-53.4914,50.63,96,6,4.12,clear sky
72,Bredasdorp,ZA,-34.5322,20.0403,61.34,89,100,6.89,overcast clouds
73,Kaitangata,NZ,-46.2817,169.8464,55.54,73,26,3.53,scattered clouds
74,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,73,75,6.91,broken clouds
75,Melo,UY,-32.3667,-54.1833,56.37,89,100,5.37,overcast clouds
76,New Norfolk,AU,-42.7826,147.0587,60.93,45,100,1.99,overcast clouds
77,Tura,IN,25.5198,90.2201,83.97,59,38,5.79,scattered clouds
78,Te Anau,NZ,-45.4167,167.7167,59.05,68,61,4.43,broken clouds
79,Torbay,CA,47.6666,-52.7314,46.76,92,40,25.32,scattered clouds
80,Saskylakh,RU,71.9167,114.0833,31.01,98,100,5.37,light snow
81,Portland,US,45.5234,-122.6762,54.18,57,100,5.75,overcast clouds
82,Vanderhoof,CA,54.0166,-124.0198,32.18,75,100,3.83,overcast clouds
83,Zhangye,CN,38.9342,100.4517,57.11,15,0,3.91,clear sky
84,Sangar,RU,63.9242,127.4739,32.59,82,100,20.71,overcast clouds
85,Hovd,MN,48.0056,91.6419,60.21,8,31,2.62,scattered clouds
86,Victoria,HK,22.2855,114.1577,74.32,75,95,5.01,overcast clouds
87,Maningrida,AU,-12.0667,134.2667,89.33,48,100,10.2,overcast clouds
88,Flinders,AU,-34.5833,150.8552,82.18,58,100,4.0,overcast clouds
89,Bethel,US,41.3712,-73.414,39.63,67,0,0.0,clear sky
90,Walvis Bay,NA,-22.9575,14.5053,60.85,78,7,3.8,clear sky
91,Russell,US,32.3502,-85.1999,65.48,97,75,6.91,mist
92,Yellowknife,CA,62.456,-114.3525,14.52,57,20,3.44,few clouds
93,Ligayan,PH,4.6533,119.4706,82.99,74,84,8.43,broken clouds
94,Albany,US,42.6001,-73.9662,37.29,63,4,5.53,clear sky
95,Babu,CN,24.4167,111.5167,55.29,96,100,4.99,overcast clouds
96,Ancud,CL,-41.8697,-73.8203,55.22,92,94,5.77,light rain
97,Saldanha,ZA,-33.0117,17.9442,53.65,73,70,9.51,broken clouds
98,Hilo,US,19.7297,-155.09,74.28,88,75,6.91,broken clouds
99,Maldonado,UY,-34.6667,-54.9167,58.39,94,100,4.68,overcast clouds
100,Sheopur,IN,25.6667,76.7,99.97,18,2,13.85,clear sky
101,Sao Filipe,CV,14.8961,-24.4956,70.7,78,22,1.32,few clouds
102,Camacha,PT,33.0833,-16.3333,58.42,77,40,18.41,scattered clouds
103,Narsaq,GL,60.9167,-46.05,32.22,90,38,2.06,scattered clouds
104,Pangnirtung,CA,66.1451,-65.7125,-9.49,100,100,3.31,overcast clouds
105,Bhadohi,IN,25.4167,82.5667,95.0,5,0,7.54,clear sky
106,Inuvik,CA,68.3499,-133.7218,21.96,42,40,5.75,scattered clouds
107,Sept-Iles,CA,50.2001,-66.3821,36.12,62,75,19.57,broken clouds
108,Soe,ID,-9.8607,124.284,82.06,56,85,4.9,overcast clouds
109,Taitung,TW,22.7583,121.1444,77.27,73,75,5.75,broken clouds
110,Laguna,US,38.421,-121.4238,57.92,52,0,9.22,clear sky
111,Chalala,IN,21.4167,71.1667,92.61,21,0,3.36,clear sky
112,Avarua,CK,-21.2078,-159.775,80.65,69,20,3.44,few clouds
113,Mtama,TZ,-10.3,39.3667,75.22,94,24,3.42,few clouds
114,Tulum,MX,20.2167,-87.4667,74.89,82,0,4.68,clear sky
115,Tiznit,MA,29.5833,-9.5,70.27,22,100,2.51,overcast clouds
116,Aasiaat,GL,68.7098,-52.8699,5.79,98,100,5.32,overcast clouds
117,Rio Gallegos,AR,-51.6226,-69.2181,41.05,87,0,13.8,clear sky
118,Evensk,RU,61.95,159.2333,29.82,91,100,5.12,overcast clouds
119,Laem Sing,TH,12.4816,102.0738,91.74,100,100,2.44,overcast clouds
120,Coihueco,CL,-36.6167,-71.8333,41.74,100,20,0.0,mist
121,Port Alfred,ZA,-33.5906,26.891,60.19,95,79,1.99,broken clouds
122,Mandera,KE,3.9366,41.867,81.28,68,87,5.21,moderate rain
123,Qaqortoq,GL,60.7167,-46.0333,25.12,87,25,1.21,scattered clouds
124,Fomboni,KM,-12.28,43.7425,83.25,73,12,10.63,few clouds
125,Qaanaaq,GL,77.484,-69.3632,-21.33,67,0,7.23,clear sky
126,Upernavik,GL,72.7868,-56.1549,-4.18,90,100,10.74,overcast clouds
127,Georgetown,MY,5.4112,100.3354,91.33,70,20,3.44,few clouds
128,Port Elizabeth,ZA,-33.918,25.5701,62.1,96,20,5.75,few clouds
129,Norman Wells,CA,65.282,-126.8329,24.84,24,20,3.44,few clouds
130,Honiara,SB,-9.4333,159.95,83.48,78,56,5.88,light rain
131,Srednekolymsk,RU,67.45,153.6833,26.08,81,99,6.11,overcast clouds
132,Iqaluit,CA,63.7506,-68.5145,-11.47,77,20,6.91,few clouds
133,Buraydah,SA,26.326,43.975,70.25,13,23,8.99,few clouds
134,Utinga,BR,-5.8172,-35.3954,79.2,100,20,3.44,light rain
135,San Cristobal,VE,7.7669,-72.225,68.18,97,99,3.11,overcast clouds
136,Madimba,TZ,-10.4,40.3333,76.51,92,67,9.35,broken clouds
137,Cockburn Town,TC,21.4612,-71.1419,77.54,82,89,22.66,overcast clouds
138,Taltal,CL,-25.4,-70.4833,59.27,86,12,1.5,few clouds
139,Oriximina,BR,-1.7656,-55.8661,74.16,98,100,4.41,overcast clouds
140,Fallon,US,39.4735,-118.7774,57.07,21,0,5.75,clear sky
141,Mount Gambier,AU,-37.8333,140.7667,57.11,82,100,14.97,overcast clouds
142,Severo-Kurilsk,RU,50.6789,156.125,32.05,83,87,7.83,overcast clouds
143,Cidreira,BR,-30.1811,-50.2056,66.13,75,78,9.69,broken clouds
144,Oka,CA,45.4649,-74.0889,39.42,56,1,8.05,clear sky
145,Puro,PH,12.4841,123.3827,85.05,66,23,12.39,few clouds
146,Alta Floresta,BR,-9.8756,-56.0861,70.05,98,97,2.64,overcast clouds
147,Kutum,SD,14.2,24.6667,77.94,19,87,4.45,overcast clouds
148,Fort Nelson,CA,58.8053,-122.7002,17.19,57,40,0.0,scattered clouds
149,Hasaki,JP,35.7333,140.8333,64.8,69,100,11.52,light rain
150,Ratnagiri,IN,16.9833,73.3,86.41,58,4,8.39,clear sky
151,Tezu,IN,27.9167,96.1667,70.41,77,100,3.09,overcast clouds
152,Nuuk,GL,64.1835,-51.7216,21.25,91,100,4.14,overcast clouds
153,Kenora,CA,49.8167,-94.4337,25.77,93,100,9.22,mist
154,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,44,0,6.91,clear sky
155,Ipueiras,BR,-7.0333,-40.45,67.26,96,75,0.74,broken clouds
156,Zhigansk,RU,66.7697,123.3711,30.16,95,100,27.94,light snow
157,Bella Union,UY,-30.2752,-57.6007,56.66,86,1,5.39,clear sky
158,Phitsanulok,TH,16.9167,100.5,92.48,33,16,4.94,few clouds
159,Indiana,US,40.0003,-86.2503,46.17,58,40,8.05,scattered clouds
160,Bengkulu,ID,-3.8004,102.2655,82.81,81,81,5.28,broken clouds
161,Ingham,US,42.6,-84.3833,33.66,67,0,3.44,clear sky
